x,y
0.00,6.00
1.00,11.00
2.00,16.00
3.00,21.00
4.00,26.00
5.00,31.00
6.00,36.00
7.00,41.00
8.00,46.00
9.00,51.00
10.00,56.00
11.00,61.00
12.00,66.00
13.00,71.00
14.00,76.00
15.00,81.00
16.00,86.00
17.00,91.00
18.00,96.00
19.00,101.00
20.00,106.00
21.00,111.00
22.00,116.00
23.00,121.00
24.00,126.00
25.00,131.00
26.00,136.00
27.00,141.00
28.00,146.00
29.00,151.00
30.00,156.00
31.00,161.00
32.00,166.00
33.00,171.00
34.00,176.00
35.00,181.00
36.00,186.00
37.00,191.00
38.00,196.00
39.00,201.00
40.00,206.00
41.00,211.00
42.00,216.00
43.00,221.00
44.00,226.00
45.00,231.00
46.00,236.00
47.00,241.00
48.00,246.00
49.00,251.00
50.00,256.00
51.00,261.00
52.00,266.00
53.00,271.00
54.00,276.00
55.00,281.00
56.00,286.00
57.00,291.00
58.00,296.00
59.00,301.00
60.00,306.00
61.00,311.00
62.00,316.00
63.00,321.00
64.00,326.00
65.00,331.00
66.00,336.00
67.00,341.00
68.00,346.00
69.00,351.00
70.00,356.00
71.00,361.00
72.00,366.00
73.00,371.00
74.00,376.00
75.00,381.00
76.00,386.00
77.00,391.00
78.00,396.00
79.00,401.00
80.00,406.00
81.00,411.00
82.00,416.00
83.00,421.00
84.00,426.00
85.00,431.00
86.00,436.00
87.00,441.00
88.00,446.00
89.00,451.00
90.00,456.00
91.00,461.00
92.00,466.00
93.00,471.00
94.00,476.00
95.00,481.00
96.00,486.00
97.00,491.00
98.00,496.00
99.00,501.00
