x,y
0.00,9.77
1.00,10.88
2.00,11.99
3.00,13.10
4.00,14.21
5.00,15.32
6.00,16.43
7.00,17.54
8.00,18.65
9.00,19.76
10.00,20.87
11.00,21.98
12.00,23.09
13.00,24.20
14.00,25.31
15.00,26.42
16.00,27.53
17.00,28.64
18.00,29.75
19.00,30.86
20.00,31.97
21.00,33.08
22.00,34.19
23.00,35.30
24.00,36.41
25.00,37.52
26.00,38.63
27.00,39.74
28.00,40.85
29.00,41.96
30.00,43.07
31.00,44.18
32.00,45.29
33.00,46.40
34.00,47.51
35.00,48.62
36.00,49.73
37.00,50.84
38.00,51.95
39.00,53.06
40.00,54.17
41.00,55.28
42.00,56.39
43.00,57.50
44.00,58.61
45.00,59.72
46.00,60.83
47.00,61.94
48.00,63.05
49.00,64.16
50.00,65.27
51.00,66.38
52.00,67.49
53.00,68.60
54.00,69.71
55.00,70.82
56.00,71.93
57.00,73.04
58.00,74.15
59.00,75.26
60.00,76.37
61.00,77.48
62.00,78.59
63.00,79.70
64.00,80.81
65.00,81.92
66.00,83.03
67.00,84.14
68.00,85.25
69.00,86.36
70.00,87.47
71.00,88.58
72.00,89.69
73.00,90.80
74.00,91.91
75.00,93.02
76.00,94.13
77.00,95.24
78.00,96.35
79.00,97.46
80.00,98.57
81.00,99.68
82.00,100.79
83.00,101.90
84.00,103.01
85.00,104.12
86.00,105.23
87.00,106.34
88.00,107.45
89.00,108.56
90.00,109.67
91.00,110.78
92.00,111.89
93.00,113.00
94.00,114.11
95.00,115.22
96.00,116.33
97.00,117.44
98.00,118.55
99.00,119.66
